account_id,timestamp,amount_inr,channel,counterparty_id,direction,tx_location_lat,tx_location_lon,tx_location_city,tx_location_state,tx_location_country
ACC00004,2026-08-28T05:00:06.802107,5295.05,CARD_ECOM,MER0004,DEBIT,,,,,
ACC00004,2026-07-09T00:57:01.952024,1078.88,CARD_ECOM,MER0035,DEBIT,,,,,
ACC00004,2026-07-27T03:05:10.173374,6220.14,WALLET,MER0026,DEBIT,,,,,
ACC00004,2026-07-11T18:47:08.088056,8924.13,WALLET,MER0013,DEBIT,,,,,
ACC00004,2026-06-08T08:39:33.861782,7442.9,UPI_ECOM,MER0023,DEBIT,,,,,
ACC00005,2026-08-23T22:14:54.174096,6785.51,UPI_ECOM,MER0022,DEBIT,,,,,
ACC00005,2026-08-28T22:20:54.331667,8662.9,UPI_ECOM,MER0020,DEBIT,,,,,
ACC00005,2026-08-22T09:42:14.102674,2338.52,CARD_ECOM,MER0036,DEBIT,,,,,
ACC00005,2026-06-29T15:54:10.261779,6532.97,WALLET,MER0034,DEBIT,,,,,
ACC00005,2026-07-23T03:54:24.901857,1764.87,WALLET,MER0012,DEBIT,,,,,
ACC00005,2026-06-11T09:40:00.547582,5997.13,CARD_POS,MER0029,DEBIT,,,,,
ACC00005,2026-06-03T09:10:31.372246,8197.38,WALLET,MER0038,DEBIT,,,,,
ACC00006,2026-08-18T18:43:15.955318,4494.25,CARD_ECOM,MER0013,DEBIT,,,,,
ACC00006,2026-06-28T23:40:16.482265,6299.3,CARD_POS,MER0022,DEBIT,,,,,
ACC00006,2026-07-30T20:29:48.172159,1106.63,UPI_ECOM,MER0013,DEBIT,,,,,
ACC00007,2026-07-21T20:16:55.203425,1624.3,WALLET,MER0023,DEBIT,,,,,
ACC00007,2026-08-06T04:11:44.732355,2430.96,WALLET,MER0019,DEBIT,,,,,
ACC00007,2026-08-22T18:39:47.806696,8196.57,CARD_POS,MER0029,DEBIT,,,,,
ACC00008,2026-07-16T06:41:28.059103,4015.14,WALLET,MER0008,DEBIT,,,,,
ACC00008,2026-08-26T02:02:28.835505,8927.62,CARD_ECOM,MER0006,DEBIT,,,,,
ACC00009,2026-06-03T00:50:58.657436,1129.9,WALLET,MER0014,DEBIT,,,,,
ACC00009,2026-08-04T17:49:08.036650,8465.64,UPI_ECOM,MER0004,DEBIT,,,,,
ACC00009,2026-07-20T11:27:52.580676,8203.44,CARD_ECOM,MER0034,DEBIT,,,,,
ACC00009,2026-08-13T03:40:40.803114,3821.71,WALLET,MER0011,DEBIT,,,,,
ACC00009,2026-07-10T10:04:01.794858,2967.63,WALLET,MER0027,DEBIT,,,,,
ACC00009,2026-08-09T08:04:05.328917,2939.73,CARD_ECOM,MER0003,DEBIT,,,,,
ACC00009,2026-06-03T06:19:34.752192,8233.25,CARD_POS,MER0024,DEBIT,,,,,
ACC00010,2026-06-10T13:08:08.640702,3456.53,WALLET,MER0035,DEBIT,,,,,
ACC00010,2026-08-07T07:34:08.858908,7338.48,UPI_ECOM,MER0010,DEBIT,,,,,
ACC00010,2026-06-07T09:51:04.675480,1305.48,UPI_ECOM,MER0026,DEBIT,,,,,
ACC00010,2026-07-28T20:07:23.955295,6841.84,UPI_ECOM,MER0010,DEBIT,,,,,
ACC00010,2026-08-24T18:14:02.281472,8862.24,CARD_ECOM,MER0020,DEBIT,,,,,
ACC00010,2026-08-05T11:29:48.772801,6728.83,UPI_ECOM,MER0034,DEBIT,,,,,
ACC00010,2026-08-10T11:47:37.216675,8332.67,CARD_POS,MER0036,DEBIT,,,,,
ACC00010,2026-08-14T10:29:21.824142,6464.7,CARD_POS,MER0003,DEBIT,,,,,
ACC00011,2026-06-07T04:29:35.105240,2829.96,CARD_ECOM,MER0022,DEBIT,,,,,
ACC00011,2026-06-14T23:11:14.870719,6507.86,CARD_ECOM,MER0015,DEBIT,,,,,
ACC00011,2026-07-31T06:48:12.286280,4358.47,CARD_ECOM,MER0026,DEBIT,,,,,
ACC00011,2026-08-18T05:25:48.537433,1262.59,WALLET,MER0032,DEBIT,,,,,
ACC00011,2026-08-26T16:36:03.471034,3951.02,CARD_ECOM,MER0038,DEBIT,,,,,
ACC00011,2026-08-13T10:49:34.940421,7911.18,CARD_ECOM,MER0015,DEBIT,,,,,
ACC00011,2026-06-29T06:12:32.481868,942.51,WALLET,MER0016,DEBIT,,,,,
ACC00012,2026-06-28T16:00:09.652211,5113.99,CARD_ECOM,MER0000,DEBIT,,,,,
ACC00012,2026-08-01T18:51:10.278241,4368.34,UPI_ECOM,MER0026,DEBIT,,,,,
ACC00012,2026-07-22T20:00:57.335201,3149.34,CARD_ECOM,MER0036,DEBIT,,,,,
ACC00012,2026-07-08T11:17:10.609210,548.87,CARD_ECOM,MER0005,DEBIT,,,,,
ACC00012,2026-06-03T11:09:31.660889,6423.78,CARD_ECOM,MER0008,DEBIT,,,,,
ACC00012,2026-08-24T12:24:41.903072,3314.64,WALLET,MER0000,DEBIT,,,,,
ACC00012,2026-07-26T12:19:57.261573,557.7,WALLET,MER0013,DEBIT,,,,,
ACC00012,2026-07-31T16:20:29.307530,1670.98,UPI_ECOM,MER0031,DEBIT,,,,,
ACC00012,2026-08-20T20:46:43.423528,7575.56,UPI_ECOM,MER0017,DEBIT,,,,,
ACC00013,2026-06-10T15:05:46.137917,4626.76,UPI_ECOM,MER0034,DEBIT,,,,,
ACC00013,2026-06-18T05:05:59.719333,1134.89,CARD_ECOM,MER0008,DEBIT,,,,,
ACC00014,2026-08-15T22:09:50.907276,6968.89,CARD_POS,MER0024,DEBIT,,,,,
ACC00014,2026-08-11T13:02:01.850044,7163.42,UPI_ECOM,MER0034,DEBIT,,,,,
ACC00014,2026-07-29T03:25:43.787095,3665.96,CARD_POS,MER0024,DEBIT,,,,,
ACC00014,2026-06-06T11:44:45.608228,8377.08,UPI_ECOM,MER0008,DEBIT,,,,,
ACC00014,2026-06-08T02:57:07.735863,6033.46,UPI_ECOM,MER0031,DEBIT,,,,,
ACC00014,2026-07-01T02:11:07.846609,6625.26,WALLET,MER0036,DEBIT,,,,,
ACC00014,2026-08-02T01:48:13.600188,6881.73,CARD_ECOM,MER0031,DEBIT,,,,,
ACC00014,2026-08-17T20:33:50.339156,4890.0,UPI_ECOM,MER0000,DEBIT,,,,,
ACC00015,2026-07-18T18:22:42.847065,4498.65,WALLET,MER0022,DEBIT,,,,,
ACC00015,2026-07-26T15:11:49.008047,5768.14,WALLET,MER0031,DEBIT,,,,,
ACC00015,2026-07-28T21:26:19.232974,5660.21,UPI_ECOM,MER0006,DEBIT,,,,,
ACC00015,2026-08-21T09:35:57.455201,3005.3,CARD_ECOM,MER0012,DEBIT,,,,,
ACC00015,2026-06-07T08:50:06.261894,3517.83,UPI_ECOM,MER0034,DEBIT,,,,,
ACC00015,2026-07-08T02:56:28.007345,2216.84,CARD_POS,MER0039,DEBIT,,,,,
ACC00015,2026-06-15T12:44:57.437977,5443.94,CARD_POS,MER0037,DEBIT,,,,,
ACC00015,2026-07-29T15:16:32.145796,1893.63,CARD_POS,MER0025,DEBIT,,,,,
ACC00015,2026-06-13T03:37:08.331109,8095.03,CARD_ECOM,MER0002,DEBIT,,,,,
ACC00015,2026-06-08T13:34:46.117082,6602.05,CARD_ECOM,MER0031,DEBIT,,,,,
ACC00016,2026-06-03T13:17:00.418830,8396.05,CARD_POS,MER0029,DEBIT,,,,,
ACC00016,2026-06-13T13:31:21.941013,6236.47,UPI_ECOM,MER0031,DEBIT,,,,,
ACC00016,2026-08-17T07:41:37.417501,5707.41,CARD_ECOM,MER0023,DEBIT,,,,,
ACC00016,2026-08-30T13:34:15.504287,2196.56,WALLET,MER0011,DEBIT,,,,,
ACC00017,2026-08-22T02:52:28.580957,3248.81,UPI_ECOM,MER0005,DEBIT,,,,,
ACC00017,2026-07-19T06:57:54.180816,5762.61,UPI_ECOM,MER0032,DEBIT,,,,,
ACC00017,2026-08-03T17:13:33.648709,8954.73,CARD_ECOM,MER0037,DEBIT,,,,,
ACC00017,2026-08-14T13:03:51.411242,4590.89,UPI_ECOM,MER0018,DEBIT,,,,,
ACC00017,2026-06-29T08:15:13.998797,818.11,WALLET,MER0000,DEBIT,,,,,
ACC00017,2026-08-19T00:39:25.344920,7227.09,CARD_POS,MER0027,DEBIT,,,,,
ACC00018,2026-08-12T12:40:15.446043,8459.29,CARD_ECOM,MER0022,DEBIT,,,,,
ACC00018,2026-06-16T06:46:56.017938,3213.59,CARD_ECOM,MER0007,DEBIT,,,,,
ACC00018,2026-07-08T16:31:54.657451,7245.83,CARD_ECOM,MER0037,DEBIT,,,,,
ACC00018,2026-08-30T08:26:29.629708,6079.42,UPI_ECOM,MER0014,DEBIT,,,,,
ACC00018,2026-06-13T20:59:12.097342,5407.41,CARD_ECOM,MER0023,DEBIT,,,,,
ACC00018,2026-07-28T07:04:44.778419,6512.66,WALLET,MER0009,DEBIT,,,,,
ACC00018,2026-07-08T05:06:22.255440,4156.22,WALLET,MER0035,DEBIT,,,,,
ACC00018,2026-07-06T19:22:42.731050,2477.56,CARD_POS,MER0008,DEBIT,,,,,
ACC00018,2026-08-09T22:19:58.226644,8821.88,UPI_ECOM,MER0034,DEBIT,,,,,
ACC00018,2026-07-17T17:08:51.184316,8311.29,CARD_ECOM,MER0035,DEBIT,,,,,
ACC00018,2026-08-07T14:45:02.895455,6454.98,WALLET,MER0010,DEBIT,,,,,
ACC00019,2026-08-30T05:50:11.480989,8240.97,CARD_ECOM,MER0038,DEBIT,,,,,
ACC00019,2026-07-16T07:07:57.808929,7526.8,UPI_ECOM,MER0018,DEBIT,,,,,
ACC00019,2026-07-20T02:13:54.478921,4536.61,CARD_POS,MER0009,DEBIT,,,,,
ACC00019,2026-07-15T16:28:16.766006,6562.89,CARD_ECOM,MER0003,DEBIT,,,,,
ACC00019,2026-08-04T07:45:57.453824,1990.0,CARD_POS,MER0026,DEBIT,,,,,
ACC00019,2026-08-15T03:25:32.698953,2229.96,WALLET,MER0002,DEBIT,,,,,
ACC00019,2026-07-22T22:59:11.110746,8824.74,WALLET,MER0000,DEBIT,,,,,
ACC00019,2026-07-02T01:14:40.734578,3683.67,CARD_ECOM,MER0023,DEBIT,,,,,
ACC00020,2026-07-17T06:58:51.819282,3643.99,WALLET,MER0036,DEBIT,,,,,
ACC00020,2026-08-15T11:23:44.614642,3353.13,CARD_POS,MER0019,DEBIT,,,,,
ACC00021,2026-06-10T06:19:51.257668,6400.82,WALLET,MER0039,DEBIT,,,,,
ACC00021,2026-06-28T04:56:48.827279,3357.08,CARD_POS,MER0000,DEBIT,,,,,
ACC00021,2026-06-17T01:17:19.304817,1472.86,WALLET,MER0032,DEBIT,,,,,
ACC00021,2026-06-08T23:59:53.610289,2804.35,UPI_ECOM,MER0003,DEBIT,,,,,
ACC00021,2026-07-01T05:45:24.526704,3742.37,CARD_ECOM,MER0038,DEBIT,,,,,
ACC00022,2026-08-22T19:23:40.014656,3002.32,CARD_ECOM,MER0026,DEBIT,,,,,
ACC00022,2026-07-08T23:41:10.645999,1490.37,UPI_ECOM,MER0006,DEBIT,,,,,
ACC00022,2026-06-04T15:54:46.952330,8534.72,CARD_ECOM,MER0016,DEBIT,,,,,
ACC00022,2026-06-03T21:54:01.861383,8319.55,UPI_ECOM,MER0011,DEBIT,,,,,
ACC00023,2026-07-05T11:11:13.354567,7811.42,WALLET,MER0006,DEBIT,,,,,
ACC00023,2026-08-02T22:21:44.874217,439.25,CARD_POS,MER0011,DEBIT,,,,,
ACC00023,2026-06-09T13:08:10.226626,5778.36,CARD_ECOM,MER0009,DEBIT,,,,,
ACC00023,2026-08-24T23:44:48.229309,8468.53,UPI_ECOM,MER0010,DEBIT,,,,,
ACC00023,2026-08-11T14:54:45.724275,2061.54,CARD_POS,MER0034,DEBIT,,,,,
ACC00023,2026-06-10T19:12:15.850511,3240.67,UPI_ECOM,MER0028,DEBIT,,,,,
ACC00023,2026-08-17T13:53:51.964256,7522.53,CARD_POS,MER0006,DEBIT,,,,,
ACC00023,2026-07-30T18:55:40.396944,4870.59,CARD_ECOM,MER0036,DEBIT,,,,,
ACC00023,2026-07-02T17:53:47.702444,1780.97,UPI_ECOM,MER0015,DEBIT,,,,,
ACC00023,2026-06-18T18:22:24.986021,5326.23,WALLET,MER0038,DEBIT,,,,,
ACC00023,2026-07-12T21:38:17.640636,7811.02,CARD_POS,MER0032,DEBIT,,,,,
ACC00024,2026-07-24T15:20:58.710175,6518.93,UPI_ECOM,MER0023,DEBIT,,,,,
ACC00024,2026-08-31T01:24:38.969349,2462.23,CARD_ECOM,MER0022,DEBIT,,,,,
ACC00024,2026-08-08T14:06:18.950194,3924.55,CARD_POS,MER0002,DEBIT,,,,,
ACC00024,2026-08-31T09:25:44.734328,3031.41,CARD_POS,MER0029,DEBIT,,,,,
ACC00024,2026-08-23T08:33:02.354328,7948.67,WALLET,MER0012,DEBIT,,,,,
ACC00024,2026-08-10T22:47:38.905210,8189.23,WALLET,MER0034,DEBIT,,,,,
ACC00024,2026-07-21T18:15:20.978228,8371.32,WALLET,MER0008,DEBIT,,,,,
ACC00024,2026-07-08T21:23:31.331821,3360.33,UPI_ECOM,MER0031,DEBIT,,,,,
ACC00024,2026-07-23T00:03:37.530132,8759.88,CARD_ECOM,MER0001,DEBIT,,,,,
ACC00024,2026-07-03T07:34:51.338975,7427.45,CARD_POS,MER0035,DEBIT,,,,,
ACC00024,2026-07-25T01:43:44.138195,3634.9,CARD_ECOM,MER0017,DEBIT,,,,,
ACC00025,2026-08-29T12:43:09.731852,4345.06,CARD_ECOM,MER0012,DEBIT,,,,,
ACC00025,2026-08-01T06:21:32.360665,1180.78,WALLET,MER0039,DEBIT,,,,,
ACC00025,2026-08-02T14:03:44.214263,5958.89,WALLET,MER0024,DEBIT,,,,,
ACC00025,2026-06-18T10:18:06.458736,4688.89,CARD_POS,MER0025,DEBIT,,,,,
ACC00025,2026-08-01T18:33:49.419194,6303.86,UPI_ECOM,MER0012,DEBIT,,,,,
ACC00025,2026-08-07T12:49:03.300424,3017.44,WALLET,MER0038,DEBIT,,,,,
ACC00025,2026-06-07T10:49:18.477212,2826.98,UPI_ECOM,MER0020,DEBIT,,,,,
ACC00025,2026-07-22T12:37:51.946616,4935.24,UPI_ECOM,MER0023,DEBIT,,,,,
ACC00025,2026-07-26T04:04:10.358576,8657.24,CARD_POS,MER0024,DEBIT,,,,,
ACC00025,2026-08-31T12:11:41.444966,1850.69,UPI_ECOM,MER0016,DEBIT,,,,,
ACC00025,2026-08-20T17:11:29.031694,2842.74,UPI_ECOM,MER0003,DEBIT,,,,,
ACC00025,2026-08-22T03:36:29.503844,6910.7,CARD_POS,MER0030,DEBIT,,,,,
ACC00026,2026-08-16T20:59:39.898743,2404.05,WALLET,MER0031,DEBIT,,,,,
ACC00026,2026-07-15T16:09:00.145322,3314.81,UPI_ECOM,MER0016,DEBIT,,,,,
ACC00026,2026-06-07T21:43:32.010867,3082.13,CARD_ECOM,MER0008,DEBIT,,,,,
ACC00026,2026-06-12T18:50:18.700865,3765.04,UPI_ECOM,MER0010,DEBIT,,,,,
ACC00027,2026-08-13T09:24:33.762540,7695.58,CARD_POS,MER0032,DEBIT,,,,,
ACC00027,2026-07-13T20:43:13.302070,5685.06,UPI_ECOM,MER0039,DEBIT,,,,,
ACC00027,2026-06-20T04:13:56.953753,2027.87,WALLET,MER0039,DEBIT,,,,,
ACC00027,2026-07-28T01:22:15.596341,5380.79,CARD_POS,MER0015,DEBIT,,,,,
ACC00027,2026-08-20T14:02:56.727278,4498.25,CARD_POS,MER0008,DEBIT,,,,,
ACC00027,2026-06-08T10:21:29.603119,2381.72,CARD_ECOM,MER0018,DEBIT,,,,,
ACC00027,2026-06-28T13:38:28.448200,1368.05,UPI_ECOM,MER0024,DEBIT,,,,,
ACC00027,2026-06-24T00:01:11.336559,3392.94,CARD_ECOM,MER0014,DEBIT,,,,,
ACC00027,2026-06-11T17:25:56.682036,3275.2,UPI_ECOM,MER0010,DEBIT,,,,,
ACC00028,2026-06-29T09:15:47.354498,5398.79,WALLET,MER0000,DEBIT,,,,,
ACC00028,2026-07-01T13:49:15.560686,6907.31,WALLET,MER0038,DEBIT,,,,,
ACC00028,2026-06-22T19:34:35.227503,8518.68,WALLET,MER0020,DEBIT,,,,,
ACC00028,2026-08-23T20:44:33.461497,8617.44,CARD_POS,MER0008,DEBIT,,,,,
ACC00028,2026-08-18T08:52:49.790147,2727.35,WALLET,MER0026,DEBIT,,,,,
ACC00028,2026-07-07T17:44:16.327878,1939.54,UPI_ECOM,MER0017,DEBIT,,,,,
ACC00028,2026-07-16T16:00:28.378887,3875.55,CARD_POS,MER0012,DEBIT,,,,,
ACC00028,2026-07-27T03:47:06.437416,983.68,WALLET,MER0020,DEBIT,,,,,
ACC00028,2026-08-21T03:43:16.708704,3180.54,CARD_ECOM,MER0032,DEBIT,,,,,
ACC00028,2026-08-12T19:11:58.044059,1805.2,UPI_ECOM,MER0009,DEBIT,,,,,
ACC00028,2026-06-24T06:31:59.374334,3326.81,CARD_ECOM,MER0032,DEBIT,,,,,
ACC00029,2026-06-07T03:26:53.117940,6203.71,WALLET,MER0031,DEBIT,,,,,
ACC00029,2026-07-25T05:10:22.242574,4110.73,WALLET,MER0024,DEBIT,,,,,
ACC00029,2026-08-18T13:27:34.491370,6757.64,CARD_ECOM,MER0016,DEBIT,,,,,
ACC00029,2026-08-01T16:53:52.309697,6898.74,WALLET,MER0026,DEBIT,,,,,
ACC00029,2026-06-25T10:54:25.221317,2584.97,UPI_ECOM,MER0028,DEBIT,,,,,
ACC00030,2026-06-29T04:52:16.362190,7243.88,CARD_ECOM,MER0004,DEBIT,,,,,
ACC00030,2026-06-26T21:55:34.241929,986.41,CARD_ECOM,MER0020,DEBIT,,,,,
ACC00030,2026-08-31T13:19:10.663037,899.13,CARD_POS,MER0004,DEBIT,,,,,
ACC00030,2026-06-11T08:24:03.223977,3826.88,UPI_ECOM,MER0033,DEBIT,,,,,
ACC00030,2026-06-24T01:45:21.767481,3780.03,CARD_POS,MER0016,DEBIT,,,,,
ACC00030,2026-06-22T06:05:16.213648,7553.82,CARD_POS,MER0008,DEBIT,,,,,
ACC00030,2026-06-16T17:42:41.795820,7659.44,UPI_ECOM,MER0015,DEBIT,,,,,
ACC00030,2026-07-27T10:03:32.868197,2015.95,CARD_POS,MER0024,DEBIT,,,,,
ACC00030,2026-07-15T12:13:25.997528,8485.32,CARD_POS,MER0027,DEBIT,,,,,
ACC00030,2026-07-25T09:01:47.965537,3420.28,WALLET,MER0031,DEBIT,,,,,
ACC00031,2026-06-30T09:00:55.494479,1513.32,WALLET,MER0012,DEBIT,,,,,
ACC00031,2026-06-21T01:41:15.068997,1403.92,CARD_ECOM,MER0010,DEBIT,,,,,
ACC00031,2026-08-12T07:51:07.100351,663.51,CARD_ECOM,MER0018,DEBIT,,,,,
ACC00031,2026-08-01T23:59:49.867255,3483.54,WALLET,MER0001,DEBIT,,,,,
ACC00031,2026-06-22T15:12:14.490480,7924.12,CARD_POS,MER0007,DEBIT,,,,,
ACC00031,2026-06-04T05:12:26.640474,4670.71,UPI_ECOM,MER0032,DEBIT,,,,,
ACC00031,2026-08-04T23:25:24.630219,8706.87,CARD_ECOM,MER0036,DEBIT,,,,,
ACC00031,2026-06-19T07:24:34.550105,7472.97,CARD_POS,MER0017,DEBIT,,,,,
ACC00031,2026-07-13T09:15:28.544087,767.02,UPI_ECOM,MER0015,DEBIT,,,,,
ACC00031,2026-08-06T09:02:51.815679,6584.53,CARD_ECOM,MER0001,DEBIT,,,,,
ACC00032,2026-06-23T01:50:48.011142,8180.46,UPI_ECOM,MER0006,DEBIT,,,,,
ACC00032,2026-07-31T18:13:35.338839,763.67,CARD_ECOM,MER0032,DEBIT,,,,,
ACC00033,2026-07-14T02:04:58.330117,5762.57,CARD_ECOM,MER0034,DEBIT,,,,,
ACC00033,2026-07-17T12:13:30.679690,1051.01,CARD_POS,MER0018,DEBIT,,,,,
ACC00033,2026-06-07T09:36:19.071342,3335.63,CARD_ECOM,MER0036,DEBIT,,,,,
ACC00033,2026-06-13T08:55:22.454811,8903.53,WALLET,MER0038,DEBIT,,,,,
ACC00033,2026-07-14T16:29:16.172665,3063.44,UPI_ECOM,MER0030,DEBIT,,,,,
ACC00033,2026-08-05T18:35:39.200158,7109.56,CARD_POS,MER0028,DEBIT,,,,,
ACC00034,2026-07-08T22:27:04.987344,7429.9,WALLET,MER0006,DEBIT,,,,,
ACC00034,2026-06-15T18:01:27.022918,2334.57,WALLET,MER0003,DEBIT,,,,,
ACC00034,2026-08-30T04:12:11.440754,3501.26,UPI_ECOM,MER0005,DEBIT,,,,,
ACC00034,2026-06-21T14:06:09.725872,3055.86,CARD_POS,MER0034,DEBIT,,,,,
ACC00034,2026-06-05T03:56:09.277510,5299.89,WALLET,MER0038,DEBIT,,,,,
ACC00034,2026-06-12T08:45:03.218434,8722.75,WALLET,MER0037,DEBIT,,,,,
ACC00034,2026-06-11T15:58:48.462126,5224.82,CARD_POS,MER0010,DEBIT,,,,,
ACC00035,2026-08-19T05:11:54.746459,3457.95,CARD_POS,MER0006,DEBIT,,,,,
ACC00035,2026-07-10T06:49:33.596838,8759.5,WALLET,MER0008,DEBIT,,,,,
ACC00035,2026-08-05T02:55:13.132152,5401.72,UPI_ECOM,MER0017,DEBIT,,,,,
ACC00035,2026-07-12T01:12:44.968789,1581.14,CARD_POS,MER0017,DEBIT,,,,,
ACC00035,2026-06-03T19:42:56.008175,5559.25,WALLET,MER0017,DEBIT,,,,,
ACC00035,2026-08-14T10:29:28.001548,1846.6,WALLET,MER0022,DEBIT,,,,,
ACC00035,2026-08-17T08:55:30.718642,5737.37,UPI_ECOM,MER0010,DEBIT,,,,,
ACC00035,2026-06-24T13:11:32.242408,5799.68,UPI_ECOM,MER0024,DEBIT,,,,,
ACC00035,2026-06-11T01:01:15.447287,6796.47,CARD_ECOM,MER0008,DEBIT,,,,,
ACC00035,2026-08-16T04:08:59.008537,7694.57,UPI_ECOM,MER0002,DEBIT,,,,,
ACC00036,2026-06-23T06:06:57.760405,4626.79,WALLET,MER0011,DEBIT,,,,,
ACC00036,2026-08-26T18:25:45.347810,4538.6,CARD_ECOM,MER0003,DEBIT,,,,,
ACC00036,2026-07-13T16:32:01.364605,802.87,WALLET,MER0034,DEBIT,,,,,
ACC00036,2026-07-23T04:18:38.874958,1719.22,WALLET,MER0017,DEBIT,,,,,
ACC00036,2026-07-11T16:41:58.219460,8295.88,WALLET,MER0029,DEBIT,,,,,
ACC00036,2026-06-08T17:43:03.739518,5540.83,UPI_ECOM,MER0014,DEBIT,,,,,
ACC00036,2026-07-14T13:34:05.747477,1287.18,WALLET,MER0039,DEBIT,,,,,
ACC00036,2026-07-05T23:49:38.592180,2979.3,UPI_ECOM,MER0033,DEBIT,,,,,
ACC00036,2026-06-19T21:14:05.333630,8492.26,CARD_ECOM,MER0002,DEBIT,,,,,
ACC00036,2026-07-14T20:48:42.239149,2390.24,UPI_ECOM,MER0001,DEBIT,,,,,
ACC00036,2026-08-21T20:18:41.935938,859.81,CARD_ECOM,MER0016,DEBIT,,,,,
ACC00037,2026-07-29T12:56:22.635874,6045.12,CARD_POS,MER0002,DEBIT,,,,,
ACC00037,2026-06-05T09:41:38.993541,8256.36,UPI_ECOM,MER0005,DEBIT,,,,,
ACC00037,2026-06-27T01:16:21.400857,3729.72,WALLET,MER0028,DEBIT,,,,,
ACC00038,2026-08-08T13:45:24.897486,1948.62,CARD_POS,MER0013,DEBIT,,,,,
ACC00038,2026-07-10T15:47:26.160340,1110.68,CARD_POS,MER0005,DEBIT,,,,,
ACC00038,2026-07-24T20:15:49.666991,8705.47,CARD_POS,MER0009,DEBIT,,,,,
ACC00039,2026-06-24T22:01:13.613279,8585.88,UPI_ECOM,MER0024,DEBIT,,,,,
ACC00039,2026-08-19T02:17:37.667352,7294.62,CARD_POS,MER0012,DEBIT,,,,,
ACC00039,2026-06-15T20:55:14.567803,8872.65,CARD_POS,MER0002,DEBIT,,,,,
ACC00039,2026-06-18T07:32:37.076690,2182.54,CARD_POS,MER0019,DEBIT,,,,,
ACC00040,2026-06-03T23:48:03.582033,4078.85,UPI_ECOM,MER0036,DEBIT,,,,,
ACC00040,2026-06-23T16:41:49.874800,3412.73,WALLET,MER0029,DEBIT,,,,,
ACC00040,2026-06-08T04:42:25.597525,921.89,UPI_ECOM,MER0025,DEBIT,,,,,
ACC00040,2026-07-05T05:07:15.692717,789.08,CARD_POS,MER0034,DEBIT,,,,,
ACC00040,2026-07-12T04:05:24.398629,1419.4,CARD_POS,MER0025,DEBIT,,,,,
